cbsa,state_code,zip,state_abrv,cbsa_name,zipname,pop10
10100,46,57401,SD,"Aberdeen, SD (Micro)","Aberdeen, SD",30061
10100,46,57426,SD,"Aberdeen, SD (Micro)","Barnard, SD (PO Boxes)",63
10100,46,57427,SD,"Aberdeen, SD (Micro)","Bath, SD",620
10100,46,57428,SD,"Aberdeen, SD (Micro)","Bowdle, SD",646
10100,46,57432,SD,"Aberdeen, SD (Micro)","Claremont, SD",292
10100,46,57433,SD,"Aberdeen, SD (Micro)","Columbia, SD",383
10100,46,57434,SD,"Aberdeen, SD (Micro)","Conde, SD",212
10100,46,57435,SD,"Aberdeen, SD (Micro)","Cresbard, SD",36
10100,46,57439,SD,"Aberdeen, SD (Micro)","Ferney, SD",52
10100,46,57441,SD,"Aberdeen, SD (Micro)","Frederick, SD",607
10100,46,57445,SD,"Aberdeen, SD (Micro)","Groton, SD",2068
10100,46,57446,SD,"Aberdeen, SD (Micro)","Hecla, SD",472
10100,46,57448,SD,"Aberdeen, SD (Micro)","Hosmer, SD",280
10100,46,57449,SD,"Aberdeen, SD (Micro)","Houghton, SD",146
10100,46,57451,SD,"Aberdeen, SD (Micro)","Ipswich, SD",2293
10100,46,57456,SD,"Aberdeen, SD (Micro)","Leola, SD",88
10100,46,57460,SD,"Aberdeen, SD (Micro)","Mansfield, SD",266
10100,46,57466,SD,"Aberdeen, SD (Micro)","Onaka, SD",28
10100,46,57471,SD,"Aberdeen, SD (Micro)","Roscoe, SD",674
10100,46,57474,SD,"Aberdeen, SD (Micro)","Stratford, SD",197
10100,46,57475,SD,"Aberdeen, SD (Micro)","Tolstoy, SD",58
10100,46,57479,SD,"Aberdeen, SD (Micro)","Warner, SD",666
10100,46,57481,SD,"Aberdeen, SD (Micro)","Westport, SD",394
10140,53,98520,WA,"Aberdeen, WA (Micro)","Aberdeen, WA",23814
10140,53,98526,WA,"Aberdeen, WA (Micro)","Amanda Park, WA",398
10140,53,98535,WA,"Aberdeen, WA (Micro)","Copalis Beach, WA",445
10140,53,98536,WA,"Aberdeen, WA (Micro)","Copalis Crossing, WA",211
10140,53,98537,WA,"Aberdeen, WA (Micro)","Cosmopolis, WA",2047
10140,53,98541,WA,"Aberdeen, WA (Micro)","Elma, WA",8715
10140,53,98547,WA,"Aberdeen, WA (Micro)","Grayland, WA",876
10140,53,98550,WA,"Aberdeen, WA (Micro)","Hoquiam, WA",11382
10140,53,98552,WA,"Aberdeen, WA (Micro)","Neilton, WA",508
10140,53,98557,WA,"Aberdeen, WA (Micro)","McCleary, WA",3161
10140,53,98559,WA,"Aberdeen, WA (Micro)","Malone, WA (PO Boxes)",93
10140,53,98562,WA,"Aberdeen, WA (Micro)","Moclips, WA",195
10140,53,98563,WA,"Aberdeen, WA (Micro)","Montesano, WA",8001
10140,53,98568,WA,"Aberdeen, WA (Micro)","Oakville, WA",2473
10140,53,98569,WA,"Aberdeen, WA (Micro)","Ocean Shores, WA",5784
10140,53,98571,WA,"Aberdeen, WA (Micro)","Pacific Beach, WA",483
10140,53,98575,WA,"Aberdeen, WA (Micro)","Quinault, WA",228
